Image,Object type,Name,Num Detections,Num Pdgfra+,Num Pdgfra-
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,199,81,118
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,199,108,91
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,186,107,79
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529552_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,205,113,92
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,262,85,177
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,163,48,115
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551943_F_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,191,39,152
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,239,79,160
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,250,86,164
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551944_M_KO_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,241,63,178
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,249,43,206
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,249,69,180
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551948_M_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,279,68,211
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,175,51,124
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_529551_F_WT_s2h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,275,95,180
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s1h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,235,89,146
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s1h2_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,242,72,170
MAX_20250917_CTNND2_ASTRO_oligostain_juvenile_set2_ASPA_Pdgfra_551941_F_KO_s2h1_Merged.tif_rotated.tif_subtracted.tif,Root object (Image),,263,90,173
