Image Name,Bcas1+,Bcas1+MBP+
529551_F_WT_s1h1,14,2
529551_F_WT_s1h2,11,6
529551_F_WT_s2h1,18,6
529552_M_KO_s1h1,16,5
529552_M_KO_s1h2,15,3
529552_M_KO_s2h1,19,4
551833_M_WT_s1h1,21,12
551833_M_WT_s2h2,14,6
551834_M_KO_s1h1,13,5
551834_M_KO_s1h2,8,3
551834_M_KO_s2h1,13,7
551932_M_WT_s1h1,14,10
551932_M_WT_s1h2,15,9
551932_M_WT_s2h1,12,8
551933_M_KO_s1h1,11,5
551933_M_KO_s1h2,13,5
551933_M_KO_s2h2,14,10
551935_M_KO_s1h1,13,4
551935_M_KO_s1h2,17,12
551935_M_KO_s2h1,17,6
551937_F_WT_s1h1,10,4
551937_F_WT_s1h2,16,6
551937_F_WT_s2h1,12,4
551941_F_KO_s1h1,18,9
551941_F_KO_s1h2,19,10
551941_F_KO_s2h2,16,7
551943_F_WT_s1h1,14,6
551943_F_WT_s1h2,17,6
551943_F_WT_s2h1,16,8
551944_M_KO_s1h1,11,5
551944_M_KO_s1h2,15,5
551944_M_KO_s2h1,16,7
551948_M_WT_s1h1,13,7
551948_M_WT_s1h2,16,7
551948_M_WT_s2h1,18,6
