Type,Slice,X,Y,Value,C-pos,Z-pos,T-pos,X(micron),Y(micron),Z(micron)
1,1,13,53,68.000000,1,1,1,14.787,60.286,0.000
1,1,140,39,165.000000,1,1,1,159.247,44.362,0.000
1,1,148,66,22.000000,1,1,1,168.347,75.073,0.000
1,1,157,122,68.000000,1,1,1,178.584,138.772,0.000
1,1,170,100,65.000000,1,1,1,193.371,113.748,0.000
1,1,29,148,85.000000,1,1,1,32.987,168.347,0.000
1,1,124,251,46.000000,1,1,1,141.047,285.507,0.000
1,1,138,238,59.000000,1,1,1,156.972,270.719,0.000
1,1,74,339,136.000000,1,1,1,84.173,385.605,0.000
1,1,35,400,14.000000,1,1,1,39.812,454.991,0.000
1,1,42,573,67.000000,1,1,1,47.774,651.774,0.000
1,1,8,441,142.000000,1,1,1,9.100,501.627,0.000
1,1,52,467,100.000000,1,1,1,59.149,531.202,0.000
1,1,186,168,219.000000,1,1,1,211.571,191.096,0.000
1,1,190,163,37.000000,1,1,1,216.121,185.409,0.000
1,1,181,703,51.000000,1,1,1,205.883,799.646,0.000
1,1,29,533,130.000000,1,1,1,32.987,606.275,0.000
1,1,101,392,51.000000,1,1,1,114.885,445.891,0.000
2,1,41,573,95.000000,1,1,1,46.637,651.774,0.000
2,1,182,703,80.000000,1,1,1,207.021,799.646,0.000
2,1,30,535,80.000000,1,1,1,34.124,608.550,0.000
2,1,52,467,100.000000,1,1,1,59.149,531.202,0.000
2,1,8,440,165.000000,1,1,1,9.100,500.490,0.000
2,1,33,398,120.000000,1,1,1,37.537,452.716,0.000
