"Animal","Genotype","hemisphere","slice","Total_cells","total_Bcas1","total_Bcas1MBP","max_value","Area","Bcas1_per_area","Bcas1MBP_per_area","Olig2_per_area"
"529551","WT","1","1",16,14,2,565,0.365545878848055,38.298886159292,5.47126945132743,43.7701556106195
"529551","WT","1","2",24,18,6,703,0.454829651026871,39.5752562731152,13.1917520910384,52.7670083641536
"529551","WT","2","1",17,11,6,629,0.406952845655622,27.0301586963434,14.7437229252782,41.7738816216216
"529552","KO","1","1",21,16,5,626,0.405011894086517,39.5050126517572,12.3453164536741,51.8503291054313
"529552","KO","1","2",23,19,4,658,0.425715377490301,44.6307580243161,9.39594905775076,54.0267070820669
"529552","KO","2","1",18,15,3,518,0.335137637598747,44.7577303088803,8.95154606177606,53.7092763706564
"551833","WT","1","1",33,21,12,909,0.588108325438728,35.7077073927393,20.4044042244224,56.1121116171617
"551833","WT","2","2",20,14,6,731,0.472945199005182,29.6017382763338,12.6864592612859,42.2881975376197
"551834","KO","1","1",18,13,5,655,0.423774425921196,30.6766978015267,11.7987299236641,42.4754277251908
"551834","KO","1","2",20,13,7,644,0.416657603501145,31.2006786645963,16.8003654347826,48.0010440993789
"551834","KO","2","1",11,8,3,617,0.399189039379203,20.0406304051864,7.5152364019449,27.5558668071313
"551932","WT","1","1",24,14,10,783,0.50658835953633,27.6358501660281,19.7398929757344,47.3757431417625
"551932","WT","1","2",20,12,8,632,0.408893797224726,29.3474737974684,19.5649825316456,48.9124563291139
"551932","WT","2","1",24,15,9,641,0.414716651932041,36.1692734789392,21.7015640873635,57.8708375663027
"551933","KO","1","1",16,11,5,575,0.372015717411737,29.5686431652174,13.4402923478261,43.0089355130435
"551933","KO","2","1",18,13,5,608,0.393366184671889,33.0480872697368,12.7108027960526,45.7588900657895
"551933","KO","2","2",24,14,10,663,0.428950296772142,32.6378139969834,23.3127242835596,55.950538280543
"551935","KO","1","1",17,13,4,736,0.476180118287023,27.3005938315217,8.4001827173913,35.700776548913
"551935","KO","1","2",23,17,6,657,0.425068393633932,39.9935639878234,14.1153755251142,54.1089395129376
"551935","KO","2","1",29,17,12,721,0.4664753604415,36.4435111511789,25.7248314008322,62.1683425520111
"551937","WT","1","1",14,10,4,690,0.446418860894084,22.4004872463768,8.96019489855072,31.3606821449275
"551937","WT","1","2",16,12,4,592,0.383014442969997,31.3304112162162,10.4434704054054,41.7738816216216
"551937","WT","2","1",22,16,6,728,0.471004247436077,33.9699696703297,12.7387386263736,46.7087082967033
"551941","KO","1","1",27,18,9,745,0.482002972994337,37.344168,18.672084,56.016252
"551941","KO","2","1",29,19,10,717,0.463887425016027,40.9582130822873,21.5569542538354,62.5151673361227
"551941","KO","2","2",23,16,7,820,0.530526762221955,30.1587047804878,13.1944333414634,43.3531381219512
"551943","WT","1","1",20,14,6,692,0.447712828606821,31.2700443352601,13.4014475722543,44.6714919075145
"551943","WT","1","2",24,16,8,814,0.526644859083746,30.3810048157248,15.1905024078624,45.5715072235872
"551943","WT","2","1",23,17,6,677,0.438008070761297,38.8120702215657,13.6983777252585,52.5104479468242
"551944","KO","1","1",16,11,5,622,0.402423958661044,27.3343566237942,12.4247075562701,39.7590641800643
"551944","KO","1","2",23,16,7,660,0.427009345203037,37.4699059393939,16.3930838484848,53.8629897878788
"551944","KO","2","1",20,15,5,719,0.465181392728763,32.24548581363,10.74849527121,42.9939810848401
"551948","WT","1","1",20,13,7,665,0.430244264484878,30.215394075188,16.2698275789474,46.4852216541353
"551948","WT","1","2",24,18,6,581,0.375897620549946,47.8853789328744,15.9617929776248,63.8471719104991
"551948","WT","2","1",23,16,7,680,0.439949022330402,36.3678498823529,15.9109343235294,52.2787842058824
